1	0	55	16	7	0	0	0	2	4	67	11	3	0	0	0	20	15	24	7	2	5	25	29	12	16	11	1	1	0	64	53	1	1	131	19	5	0	2	1	1	11	131	38	2	0	5	3	5	56	131	26	3	7	6	4	7	65	131	4	3	1	10	10	5	2	38	0	3	5	97	18	11	13	70	2	1	2	43	90	35	30	112	3	1	3	38	87	15	42	131	5	0	0	34	48	14	31	32	2	4	22	131	26	13	30	33	4	8	31	131	72	31	4	19	1	11	38	131	79	62	4	5	0	6	6	69	87	
0	0	53	18	8	0	0	0	4	6	63	10	2	0	0	0	21	17	21	6	1	5	34	36	11	14	11	2	1	0	64	54	1	1	131	21	5	0	3	1	1	13	131	41	2	0	4	3	6	66	131	19	2	6	7	5	7	61	131	5	4	1	11	12	6	3	40	0	4	6	88	27	11	14	72	2	1	1	38	89	37	33	119	4	1	3	39	86	12	44	131	4	0	0	33	41	15	32	33	2	3	20	131	33	11	26	29	5	9	36	131	69	40	3	18	0	10	32	131	85	55	4	4	0	7	5	68	82	
0	0	51	19	9	0	0	0	6	7	58	8	1	1	0	2	21	19	18	4	1	4	43	42	10	11	11	2	1	1	62	56	1	1	130	22	6	0	4	1	1	14	130	44	2	1	4	3	7	77	130	12	2	5	8	5	6	56	130	6	5	1	13	14	7	3	42	0	4	6	77	36	12	15	75	3	0	0	36	86	39	37	126	5	1	3	40	84	9	46	130	3	0	0	33	35	15	33	33	2	2	17	130	40	10	20	26	5	11	41	130	65	50	3	15	0	8	25	130	92	46	3	4	0	7	5	71	76	
0	0	51	18	8	0	0	0	9	8	51	8	1	2	1	3	19	20	16	3	1	4	52	48	9	9	10	2	1	1	60	57	1	2	129	23	5	0	4	2	1	18	129	43	2	2	4	3	8	83	129	7	2	4	8	6	5	50	129	8	4	2	15	16	8	4	44	0	4	6	67	44	15	16	79	3	0	0	34	84	38	40	129	6	1	3	42	81	7	44	129	4	0	0	32	29	14	32	32	2	2	15	129	46	10	15	23	4	12	44	129	63	60	3	13	0	7	19	129	97	36	3	4	0	7	6	74	72	
0	0	53	15	7	0	0	0	12	11	43	9	1	2	4	6	18	20	16	2	1	3	60	54	9	7	10	2	1	1	60	58	1	3	130	23	4	0	5	2	2	24	130	41	2	3	4	3	8	83	130	6	2	4	8	6	4	45	130	11	4	1	17	19	8	6	45	0	3	5	58	52	19	19	84	2	0	1	32	84	33	42	130	7	0	2	44	77	6	40	130	5	0	0	33	23	13	31	32	2	3	16	130	50	11	12	21	3	12	44	130	64	70	3	11	0	7	16	115	101	28	3	5	0	6	5	78	68	
0	0	54	12	5	0	0	0	15	12	35	10	1	3	8	10	17	20	16	1	1	2	67	58	7	6	10	2	1	1	60	58	1	5	130	24	3	0	5	2	3	32	130	38	3	4	4	3	8	83	130	4	2	3	9	7	3	40	130	14	4	1	20	20	8	7	47	1	3	4	50	58	24	21	89	2	0	2	32	84	29	44	130	8	0	2	44	73	5	35	130	8	0	0	34	18	12	29	31	2	3	17	130	53	13	9	19	3	12	43	130	66	76	4	10	0	7	13	103	104	20	2	6	0	5	4	81	66	
0	1	53	10	4	0	0	0	17	13	30	9	2	4	12	16	16	21	15	1	1	2	72	61	6	4	9	2	1	0	60	56	1	6	131	25	2	0	5	2	4	39	131	34	3	5	5	3	8	82	131	4	3	2	10	9	2	34	131	19	4	1	22	21	7	8	49	1	2	3	42	63	28	24	95	2	0	2	32	84	25	46	131	8	0	1	43	68	4	29	131	12	0	0	35	13	11	27	28	3	4	18	131	53	18	6	18	2	12	42	131	69	77	4	8	0	7	10	94	106	14	2	6	0	5	4	82	64	
1	2	52	9	3	0	0	0	19	13	25	8	2	5	19	22	15	20	14	2	1	1	75	64	5	3	8	1	1	0	62	54	0	7	130	27	2	0	4	2	5	48	130	28	3	6	5	3	8	80	130	5	3	2	11	11	2	28	130	25	4	1	25	21	8	9	51	1	1	2	36	66	31	27	101	3	0	2	34	83	21	49	130	7	0	1	41	62	3	23	130	18	0	0	35	10	10	24	26	3	5	21	130	54	24	4	18	1	11	39	130	73	76	4	7	0	7	8	88	105	10	1	7	0	4	3	81	64	
2	4	50	8	2	0	0	0	19	15	22	6	1	5	27	30	15	18	13	2	1	1	77	65	3	3	7	1	1	0	65	49	0	9	130	29	1	0	4	2	5	57	130	22	3	6	6	4	8	77	130	5	4	1	13	13	1	22	130	32	4	1	29	20	8	10	52	2	1	1	31	67	34	29	108	3	1	3	36	82	17	52	130	6	0	0	40	55	2	16	130	26	0	0	34	8	9	21	23	3	6	24	130	53	32	3	17	1	10	34	130	77	72	5	6	0	8	7	84	103	6	1	7	0	3	2	80	63	
4	5	46	7	1	0	0	0	19	17	19	5	1	5	35	36	14	16	13	2	2	1	77	67	2	2	6	1	0	0	69	43	1	10	129	31	1	0	3	2	6	66	129	16	2	6	7	5	8	72	129	7	5	1	14	15	0	16	129	42	4	1	32	18	9	11	55	2	0	1	28	66	36	33	116	4	1	3	38	82	14	54	129	5	0	0	40	47	1	10	129	34	0	0	31	7	8	18	21	3	7	28	129	51	42	3	16	0	9	28	129	84	63	4	5	0	8	7	84	98	5	0	7	0	2	2	77	64	
5	5	42	6	1	1	0	2	20	19	17	3	1	4	44	42	12	13	13	3	2	1	75	69	1	2	5	0	0	0	73	35	1	10	128	33	1	1	3	2	7	76	128	10	1	5	8	5	7	66	128	8	6	2	16	18	0	9	128	52	4	1	37	15	9	11	57	2	0	0	26	64	37	35	123	5	1	3	39	80	10	56	128	4	0	0	40	39	0	3	128	43	0	0	28	7	7	14	19	4	8	32	128	48	52	3	14	0	8	22	128	90	51	4	5	0	9	7	88	91	5	0	8	0	1	1	72	65	
7	7	36	6	1	1	1	3	18	20	16	2	1	3	53	48	11	10	13	3	2	1	73	71	1	1	3	0	1	0	78	27	1	14	127	33	1	2	3	2	7	80	127	6	2	4	8	5	6	60	127	11	5	2	19	21	0	6	127	60	5	2	41	13	12	12	61	2	0	0	25	63	35	38	127	6	0	3	41	76	8	53	127	5	0	0	40	32	0	0	127	50	0	0	25	6	7	10	17	3	9	34	127	47	62	3	12	0	7	17	119	95	40	4	6	0	8	7	93	85	4	0	9	0	1	0	69	65	
10	8	30	7	1	2	3	5	17	20	15	2	1	3	60	53	10	8	12	3	2	1	73	71	0	1	2	0	2	0	81	21	2	20	128	30	2	2	3	2	8	80	128	5	2	3	8	6	5	53	128	14	5	2	22	24	1	6	128	66	5	2	45	11	16	15	64	1	0	1	24	64	30	41	128	7	0	2	42	73	7	47	128	8	0	0	41	26	0	0	128	56	0	0	22	5	8	8	15	2	9	33	128	48	69	3	10	0	7	14	106	99	31	4	7	0	7	6	97	82	4	0	11	0	1	0	67	64	
12	10	25	7	1	2	7	9	16	20	15	1	1	2	66	57	9	7	12	2	1	1	73	71	1	1	2	0	2	1	83	16	2	26	128	28	2	3	3	2	8	79	128	4	2	3	9	7	4	46	128	19	5	1	25	26	3	5	128	70	5	3	49	11	19	17	68	1	0	1	24	64	26	43	128	8	0	2	42	68	5	39	128	12	0	0	42	20	0	1	128	61	0	0	20	5	10	6	14	2	9	32	128	50	74	4	8	0	6	11	95	101	22	3	7	0	6	5	100	80	4	0	13	0	1	0	66	61	
14	10	21	6	1	3	11	14	15	20	14	1	1	2	71	60	7	5	11	2	1	0	75	69	1	1	2	1	3	1	84	13	3	32	128	24	2	4	4	2	8	78	128	4	3	2	10	9	3	39	128	25	5	1	29	26	5	5	122	72	5	4	53	11	23	19	73	1	0	2	25	64	22	46	128	8	0	1	40	64	4	32	128	18	0	0	43	15	0	1	128	65	0	0	18	4	15	4	14	1	9	31	128	53	74	4	7	0	7	9	88	102	16	2	8	0	5	4	100	79	4	0	15	1	0	0	68	57	
14	10	18	5	1	3	16	19	15	19	13	2	1	1	74	62	5	4	10	2	1	0	78	65	2	2	2	1	4	2	83	11	4	39	129	20	2	4	4	3	8	77	129	5	3	2	11	11	2	31	129	34	5	1	33	26	8	6	117	71	4	5	57	13	25	21	79	2	0	2	27	64	19	49	129	7	0	1	40	58	3	25	129	26	0	0	42	12	0	2	129	67	0	0	17	3	20	3	13	1	8	28	127	57	72	4	6	0	7	7	84	102	11	1	8	0	4	4	100	79	4	0	19	1	0	0	70	52	
15	12	16	4	1	4	23	25	14	17	13	2	1	1	75	64	4	3	9	1	1	0	83	59	3	4	3	1	5	2	80	11	4	46	129	15	2	5	5	3	8	73	129	6	4	1	13	13	1	25	129	44	5	1	37	24	10	7	115	67	3	5	61	16	27	23	85	3	0	2	29	63	15	52	129	6	0	0	39	52	2	17	129	36	0	0	41	10	0	3	129	68	1	0	16	2	27	2	13	0	7	25	121	61	68	5	5	0	8	7	83	100	7	1	9	0	4	3	98	80	4	0	23	2	0	0	74	46	
15	13	14	3	1	4	30	30	13	14	13	3	2	1	76	66	3	3	7	1	1	0	88	51	4	6	5	1	6	2	75	13	5	54	130	11	1	4	6	4	8	69	130	7	5	1	15	16	0	18	130	57	5	1	42	22	13	8	115	59	3	5	64	20	28	26	92	4	0	2	30	63	12	54	130	4	0	0	39	44	1	10	130	46	0	0	38	9	0	4	130	66	1	0	16	1	35	2	12	0	6	20	112	67	59	4	5	0	8	7	85	95	6	0	10	0	3	2	94	82	3	0	28	2	0	0	78	39	
15	15	13	2	0	3	37	34	12	12	13	3	2	1	74	70	2	2	5	0	0	0	95	41	6	9	8	2	8	3	67	17	5	60	129	6	1	3	6	4	7	65	129	8	6	2	17	19	0	11	129	71	6	2	48	18	17	10	115	48	2	4	64	26	29	28	98	4	0	2	31	62	10	56	129	3	0	0	40	37	0	3	129	58	0	0	35	8	0	5	129	64	1	0	16	1	44	2	11	0	5	16	100	72	47	4	5	0	9	7	90	88	6	0	11	0	2	1	90	83	2	0	32	3	0	0	83	31	
14	16	12	1	0	2	44	39	11	9	13	3	2	1	72	71	1	2	4	0	1	0	101	32	8	12	10	2	8	2	58	20	6	63	129	4	1	3	6	4	6	59	129	11	5	2	20	22	0	7	129	80	7	3	54	15	18	11	114	38	1	3	65	31	27	30	105	5	0	2	33	59	8	52	129	5	0	0	41	30	0	0	129	67	0	0	31	8	0	5	129	59	2	0	16	0	51	2	9	0	5	12	89	76	37	4	6	0	8	7	95	84	6	0	12	0	1	1	87	83	2	0	37	3	0	1	86	23	
